k		meanRecall		stdRecall		aBO		stdBO
1		0.13		3.59		0.11		0.17
2		0.64		8.00		0.14		0.19
3		0.90		9.45		0.16		0.20
4		1.29		11.27		0.18		0.21
5		1.93		13.76		0.20		0.22
6		2.45		15.45		0.21		0.22
7		3.26		17.68		0.22		0.23
8		3.78		18.98		0.23		0.23
9		4.48		20.55		0.25		0.23
10		5.19		21.97		0.25		0.23
15		8.17		25.97		0.31		0.25
20		10.04		28.02		0.35		0.25
25		12.48		30.49		0.39		0.25
30		14.78		32.33		0.43		0.24
35		15.87		33.15		0.46		0.24
40		17.80		34.75		0.48		0.23
45		19.86		36.19		0.50		0.23
50		21.36		37.01		0.51		0.23
60		25.03		39.05		0.54		0.22
70		29.26		41.07		0.56		0.21
80		33.29		42.05		0.58		0.21
90		36.38		42.55		0.60		0.20
100		38.61		42.72		0.61		0.20
