k		meanRecall		stdRecall		aBO		stdBO
1		6.82		25.21		0.11		0.17
2		11.05		31.25		0.14		0.19
3		12.53		32.86		0.16		0.20
4		13.49		33.70		0.18		0.21
5		14.52		34.47		0.20		0.22
6		15.34		35.16		0.21		0.22
7		16.17		35.74		0.22		0.23
8		16.62		36.02		0.23		0.23
9		17.65		36.66		0.25		0.23
10		18.70		37.39		0.25		0.23
15		26.75		40.69		0.31		0.25
20		35.18		42.77		0.35		0.25
25		42.17		43.71		0.39		0.25
30		48.13		43.60		0.43		0.24
35		52.79		43.48		0.46		0.24
40		56.93		43.21		0.48		0.23
45		61.13		42.22		0.50		0.23
50		63.73		41.45		0.51		0.23
60		70.23		38.46		0.54		0.22
70		74.67		36.71		0.56		0.21
80		78.10		34.73		0.58		0.21
90		81.02		33.15		0.60		0.20
100		82.63		31.63		0.61		0.20
