k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.11		0.17
2		0.00		0.00		0.14		0.19
3		0.00		0.00		0.16		0.20
4		0.00		0.00		0.18		0.21
5		0.00		0.00		0.20		0.22
6		0.00		0.00		0.21		0.22
7		0.13		3.59		0.22		0.23
8		0.13		3.59		0.23		0.23
9		0.39		6.20		0.25		0.23
10		0.51		7.16		0.25		0.23
15		1.01		9.68		0.31		0.25
20		1.95		13.27		0.35		0.25
25		3.75		17.53		0.39		0.25
30		4.46		19.04		0.43		0.24
35		4.95		19.87		0.46		0.24
40		6.05		21.97		0.48		0.23
45		6.95		23.27		0.50		0.23
50		8.49		25.55		0.51		0.23
60		10.94		28.60		0.54		0.22
70		12.42		30.25		0.56		0.21
80		14.48		32.05		0.58		0.21
90		16.02		33.49		0.60		0.20
100		17.37		34.67		0.61		0.20
