spc	meanAcc	stdAcc	minAcc	maxAcc
1	76.75	4.50	64.21	84.77
10	89.36	1.99	85.03	93.15
20	91.46	1.74	87.82	94.92
30	92.33	1.48	87.82	94.92
40	92.82	1.45	89.34	95.69
50	93.31	1.38	90.36	95.94
60	93.49	1.18	90.61	95.43
70	93.54	1.31	90.36	95.69
80	93.61	1.25	90.36	95.69
90	93.69	1.21	91.12	95.69
100	93.70	1.21	90.86	96.45
110	93.90	1.30	90.10	96.45
120	93.95	1.20	90.86	96.45
130	93.93	1.14	90.86	96.19
140	93.89	1.20	90.86	96.19
150	93.95	1.21	90.36	96.19
