spc	meanAcc	stdAcc	minAcc	maxAcc
1	71.50	6.42	54.31	83.50
10	87.90	5.64	57.61	92.89
20	90.72	4.68	61.17	94.92
30	92.02	2.74	75.89	95.18
40	92.70	2.73	75.89	95.43
50	93.34	2.81	76.40	96.19
60	93.63	2.62	77.41	95.69
70	93.70	3.47	71.57	96.95
80	93.98	2.37	79.95	96.19
90	94.12	2.70	77.66	96.45
100	94.20	3.06	74.62	96.70
110	94.13	3.57	70.81	97.21
120	94.30	3.38	72.34	97.46
130	94.07	3.81	69.04	97.21
140	93.92	4.23	66.50	97.97
150	94.01	4.30	65.99	97.46
