spc	meanAcc	stdAcc	minAcc	maxAcc
1	63.47	8.35	43.40	77.16
10	82.16	2.42	75.63	86.55
20	83.92	2.55	73.60	87.82
30	84.82	2.71	72.08	89.09
40	85.80	2.35	78.68	90.36
50	86.27	2.31	78.43	89.34
60	86.90	2.31	80.20	91.12
70	87.52	2.52	79.44	91.12
80	87.64	2.56	80.46	91.37
90	87.98	2.39	79.70	91.62
100	88.19	2.41	80.96	92.64
110	88.60	2.37	79.70	92.89
120	88.87	2.23	82.23	93.91
130	88.87	2.31	81.47	93.65
140	89.37	2.46	80.71	94.67
150	89.26	2.35	80.46	93.40
