spc	meanAcc	stdAcc	minAcc	maxAcc
1	65.50	10.29	35.03	79.95
10	83.05	3.10	76.14	89.09
20	85.95	2.91	77.16	91.12
30	87.06	2.84	77.41	90.86
40	87.95	2.79	80.46	93.15
50	88.89	2.85	81.22	93.40
60	89.49	2.80	78.93	94.42
70	90.25	2.56	82.74	93.91
80	90.49	2.55	82.74	94.42
90	90.73	2.45	84.01	93.91
100	90.93	2.43	83.76	95.18
110	91.15	2.20	85.03	94.42
120	91.35	2.26	84.26	95.18
130	91.72	2.17	84.52	95.18
140	91.83	2.04	86.80	95.69
150	91.91	2.01	84.77	95.18
