spc	meanAcc	stdAcc	minAcc	maxAcc
1	82.73	5.86	57.11	90.36
10	90.03	2.92	81.98	95.69
20	93.35	1.98	85.79	96.70
30	94.98	1.24	91.37	96.70
40	95.63	1.04	91.88	97.46
50	96.01	1.16	91.37	97.97
60	96.30	0.91	92.13	97.72
70	96.18	1.06	92.13	98.48
80	96.32	0.97	91.88	97.97
90	96.68	0.88	92.89	98.22
100	96.86	0.82	94.16	98.22
110	96.79	0.85	93.91	98.48
120	96.87	0.80	93.91	98.48
130	97.00	0.77	93.65	98.22
140	96.67	0.87	93.15	98.48
150	96.89	0.90	93.40	98.48
