spc	meanAcc	stdAcc	minAcc	maxAcc
1	89.20	6.99	59.39	96.70
10	95.98	1.21	91.62	97.72
20	96.47	1.70	86.29	98.22
30	96.81	0.85	94.42	98.48
40	97.00	0.72	95.18	98.22
50	97.09	0.87	94.67	98.22
60	97.24	0.80	94.92	98.73
70	97.25	0.77	95.18	98.73
80	97.27	0.82	95.69	98.73
90	97.39	0.67	95.94	98.73
100	97.42	0.62	96.19	98.48
110	97.35	0.74	95.69	98.73
120	97.35	0.79	95.43	98.73
130	97.32	0.74	94.92	98.73
140	97.30	0.89	95.18	98.98
150	97.27	0.86	95.69	98.73
