spc	meanAcc	stdAcc	minAcc	maxAcc
1	68.40	6.17	56.60	80.71
10	86.44	2.32	80.20	90.10
20	89.67	1.55	87.06	92.89
30	90.62	1.78	85.79	94.42
40	91.70	1.46	88.58	94.16
50	92.24	1.51	87.31	94.67
60	92.74	1.40	89.59	96.19
70	93.24	1.54	89.59	95.94
80	93.64	1.43	89.85	95.94
90	94.08	1.24	91.62	96.95
100	94.21	1.07	92.13	95.94
110	94.37	1.23	90.10	95.94
120	94.52	1.31	91.88	96.70
130	94.38	1.31	90.36	96.70
140	94.37	1.21	91.62	96.95
150	94.62	1.19	91.12	96.70
