spc	meanAcc	stdAcc	minAcc	maxAcc
1	80.61	7.84	52.54	90.10
10	92.29	1.52	88.58	95.69
20	94.11	1.08	91.12	96.19
30	95.01	0.83	92.64	96.70
40	95.62	0.85	93.15	97.21
50	96.01	0.74	93.65	97.21
60	96.32	0.75	93.91	97.72
70	96.57	0.73	94.42	97.97
80	96.56	0.71	94.42	97.72
90	96.75	0.73	94.42	97.97
100	96.92	0.58	95.69	97.97
110	96.84	0.54	95.69	97.97
120	97.02	0.65	95.18	98.22
130	96.81	0.68	95.18	97.97
140	96.79	0.60	95.43	97.97
150	96.92	0.66	95.18	97.97
