spc	meanAcc	stdAcc	minAcc	maxAcc
1	64.30	7.75	42.89	78.68
10	84.25	3.19	76.90	89.34
20	87.30	2.59	82.74	92.64
30	88.80	2.42	82.49	92.39
40	89.51	2.44	83.76	93.91
50	90.22	2.46	84.77	94.67
60	90.82	2.52	85.03	94.92
70	91.19	2.43	85.79	95.94
80	91.55	2.33	86.04	95.69
90	91.70	2.62	85.53	95.94
100	91.86	2.36	87.06	95.94
110	92.01	2.34	87.06	95.94
120	92.39	2.42	86.55	96.70
130	92.21	2.11	86.80	95.43
140	92.45	2.18	86.55	96.45
150	92.46	2.28	86.04	96.19
