spc	meanAcc	stdAcc	minAcc	maxAcc
1	58.61	8.06	38.32	74.37
10	74.64	4.43	60.41	83.25
20	79.03	4.32	60.41	84.77
30	80.21	3.95	64.72	87.06
40	81.90	3.42	69.29	86.80
50	82.80	3.04	69.80	86.55
60	83.40	3.23	70.30	87.31
70	84.07	3.18	71.57	89.09
80	84.70	2.80	72.84	88.32
90	85.00	3.30	72.08	89.59
100	85.38	3.05	73.35	90.10
110	85.66	3.10	73.10	90.36
120	86.00	3.08	73.35	90.61
130	86.42	3.08	74.11	91.12
140	86.61	2.86	74.62	91.12
150	86.82	2.95	74.87	91.37
