spc	meanAcc	stdAcc	minAcc	maxAcc
1	73.88	8.40	49.49	84.77
10	90.56	2.08	85.79	94.92
20	92.73	1.52	89.09	95.69
30	93.60	1.63	89.09	96.70
40	94.07	1.43	89.59	95.94
50	94.35	1.32	91.37	96.95
60	94.37	1.41	90.10	97.72
70	94.76	1.25	91.12	97.21
80	95.06	1.22	91.37	97.21
90	95.18	1.34	91.12	97.97
100	95.33	1.41	91.12	97.46
110	95.26	1.31	91.62	97.97
120	95.13	1.19	92.13	96.95
130	95.02	1.31	91.12	97.46
140	95.30	1.19	91.88	97.72
150	95.33	1.11	92.89	97.97
