spc	meanAcc	stdAcc	minAcc	maxAcc
1	89.79	5.17	70.56	95.69
10	95.55	0.79	92.89	96.70
20	96.01	0.67	93.91	97.46
30	96.30	0.66	94.92	97.46
40	96.44	0.91	94.67	97.97
50	96.64	0.61	95.18	97.97
60	96.70	0.70	95.18	97.97
70	96.68	0.59	95.43	97.72
80	96.74	0.62	95.43	97.97
90	96.84	0.66	95.69	97.97
100	96.88	0.63	95.94	98.22
110	96.88	0.60	95.69	97.97
120	96.87	0.71	95.18	98.48
130	96.77	0.57	95.18	97.97
140	96.75	0.60	95.43	97.97
150	96.82	0.68	95.18	97.97
