spc	meanAcc	stdAcc	minAcc	maxAcc
1	71.89	6.65	56.60	85.03
10	88.96	2.05	83.76	92.13
20	91.10	1.66	85.79	94.16
30	92.04	1.59	87.56	95.18
40	92.47	1.51	89.09	94.67
50	92.96	1.54	88.83	94.92
60	93.30	1.63	87.82	96.19
70	93.38	1.52	88.07	96.19
80	93.64	1.32	90.10	95.69
90	93.90	1.67	88.32	96.45
100	93.84	1.54	89.85	97.21
110	94.07	1.48	90.10	96.95
120	94.12	1.47	88.58	96.95
130	94.18	1.37	90.61	96.95
140	94.23	1.53	89.85	97.21
150	94.31	1.52	89.34	96.95
