spc	meanAcc	stdAcc	minAcc	maxAcc
1	75.27	7.32	54.06	88.32
10	90.82	1.92	84.01	94.42
20	92.52	1.60	88.32	96.19
30	93.60	1.26	90.10	96.19
40	94.13	1.38	89.34	97.21
50	94.58	1.24	90.10	96.45
60	95.04	1.21	90.36	97.46
70	95.38	1.16	89.85	97.21
80	95.64	1.22	90.61	97.97
90	95.76	1.23	90.36	97.21
100	96.02	1.19	90.86	97.72
110	96.05	1.21	91.12	97.97
120	96.00	1.09	91.62	97.72
130	96.02	1.16	90.86	97.72
140	95.94	1.34	89.85	98.22
150	96.08	1.03	92.39	97.46
