spc	meanAcc	stdAcc	minAcc	maxAcc
1	84.85	9.79	40.36	94.16
10	94.66	1.48	88.58	97.46
20	95.43	0.94	92.89	97.46
30	95.91	0.98	94.16	97.97
40	95.97	0.97	94.16	97.72
50	96.24	0.85	94.67	97.72
60	96.36	0.87	94.16	97.97
70	96.26	0.82	94.16	97.72
80	96.36	0.84	94.42	97.97
90	96.36	0.86	94.67	98.22
100	96.51	0.80	94.67	97.72
110	96.45	0.75	94.42	97.72
120	96.59	0.81	94.16	97.97
130	96.45	0.81	94.42	97.97
140	96.46	0.89	94.42	97.97
150	96.47	0.85	94.42	97.97
