spc	meanAcc	stdAcc	minAcc	maxAcc
1	89.09	5.69	72.59	95.43
10	95.13	3.04	75.13	97.21
20	95.69	2.08	82.23	97.46
30	95.93	1.67	85.28	97.21
40	96.08	1.26	88.32	97.72
50	96.31	0.87	92.89	97.72
60	96.44	0.80	92.64	97.72
70	96.35	0.85	93.65	97.97
80	96.48	0.78	94.42	98.22
90	96.48	0.80	93.65	98.22
100	96.58	0.65	95.18	97.97
110	96.55	0.68	94.16	97.97
120	96.56	0.72	94.42	98.22
130	96.51	0.74	94.67	98.22
140	96.58	0.62	95.43	97.97
150	96.53	0.78	94.67	98.22
