spc	meanAcc	stdAcc	minAcc	maxAcc
1	55.75	9.03	33.50	73.35
10	71.26	3.39	64.47	79.95
20	73.76	3.89	62.18	80.96
30	75.20	3.12	64.47	81.47
40	76.55	2.96	68.78	83.25
50	77.01	2.95	70.30	81.22
60	77.97	2.89	71.32	84.52
70	78.49	2.78	70.81	83.76
80	78.40	2.92	71.07	82.99
90	78.97	2.65	72.84	85.03
100	79.33	2.73	72.34	84.52
110	79.46	2.82	70.05	84.01
120	79.83	2.70	72.59	84.52
130	80.03	2.73	72.34	85.53
140	80.53	2.78	74.37	85.28
150	80.48	2.56	72.84	85.28
