spc	meanAcc	stdAcc	minAcc	maxAcc
1	70.96	8.41	53.55	86.04
10	88.59	1.96	82.49	92.39
20	90.83	1.52	87.06	94.16
30	92.17	1.49	88.58	94.67
40	93.15	1.46	89.85	95.69
50	93.66	1.12	91.37	96.70
60	93.87	1.15	90.86	95.69
70	94.41	1.15	91.12	96.45
80	94.73	1.10	91.62	96.19
90	94.79	0.93	92.39	96.45
100	94.95	1.01	91.88	96.95
110	95.23	1.00	92.13	96.70
120	95.31	1.15	91.88	96.95
130	95.30	0.93	92.64	96.70
140	95.23	1.03	91.88	97.46
150	95.38	1.10	92.13	97.21
