spc	meanAcc	stdAcc	minAcc	maxAcc
1	80.88	6.27	62.69	89.34
10	91.57	1.92	87.31	95.18
20	93.64	1.78	88.32	96.45
30	95.08	0.97	92.89	96.95
40	95.54	1.11	91.88	97.46
50	95.98	0.87	93.65	97.46
60	96.26	0.90	93.91	97.72
70	96.58	0.76	94.42	98.22
80	96.67	0.76	94.42	98.22
90	96.77	0.71	94.42	97.97
100	96.98	0.80	94.67	98.48
110	96.94	0.76	94.42	98.22
120	96.92	0.70	94.92	98.22
130	97.08	0.74	94.67	98.22
140	96.85	0.72	94.92	97.97
150	96.97	0.70	94.92	98.22
