spc	meanAcc	stdAcc	minAcc	maxAcc
1	69.91	8.18	43.91	85.03
10	87.44	2.20	82.99	91.88
20	89.92	1.96	84.52	93.65
30	91.46	2.10	87.06	95.43
40	92.04	2.10	87.56	95.43
50	92.41	1.77	87.82	95.18
60	92.99	1.85	88.83	96.70
70	93.47	1.93	89.09	96.45
80	93.48	1.98	89.09	97.46
90	93.92	1.80	90.36	97.72
100	94.10	1.94	89.85	97.46
110	94.23	1.66	90.36	97.21
120	94.52	1.80	90.10	97.21
130	94.35	1.89	89.85	96.95
140	94.37	1.65	90.61	97.46
150	94.68	1.66	90.61	97.72
