spc	meanAcc	stdAcc	minAcc	maxAcc
1	66.50	6.72	47.46	78.68
10	86.08	2.10	80.96	90.61
20	88.63	2.11	83.76	92.64
30	90.36	1.51	86.29	93.40
40	91.29	1.75	87.82	94.92
50	91.90	1.44	89.09	95.18
60	92.38	1.49	89.09	94.67
70	92.67	1.70	88.32	95.43
80	92.77	1.47	89.34	95.43
90	93.13	1.39	89.85	96.19
100	93.43	1.52	90.10	96.45
110	93.69	1.55	89.59	95.69
120	93.57	1.39	89.09	95.69
130	93.71	1.43	90.10	96.19
140	93.64	1.42	90.36	95.94
150	93.83	1.37	89.85	96.19
