spc	meanAcc	stdAcc	minAcc	maxAcc
1	88.55	4.12	74.87	95.18
10	94.23	2.63	82.74	96.70
20	95.28	1.85	84.77	97.72
30	95.70	1.69	86.04	97.46
40	96.07	1.31	89.09	97.97
50	96.30	1.16	91.88	97.97
60	96.44	1.00	91.88	98.22
70	96.57	0.88	93.91	98.22
80	96.64	0.88	93.15	98.48
90	96.81	0.78	95.18	98.48
100	96.82	0.69	95.43	98.73
110	96.93	0.69	95.43	98.22
120	96.75	0.75	94.16	97.97
130	96.75	0.91	94.67	98.48
140	96.76	0.73	94.92	98.22
150	96.76	0.76	95.43	98.22
