spc	meanAcc	stdAcc	minAcc	maxAcc
1	76.17	10.89	53.81	90.86
10	89.71	7.60	63.96	96.19
20	92.70	5.10	72.08	96.45
30	94.15	3.33	83.25	97.21
40	94.87	2.51	85.53	97.46
50	95.31	2.74	83.50	97.97
60	95.65	2.21	85.28	98.22
70	95.90	1.93	88.58	97.72
80	96.02	1.99	87.56	98.73
90	96.14	1.95	88.58	98.22
100	96.36	1.62	90.86	98.48
110	96.08	2.22	88.07	98.22
120	96.18	2.28	88.83	98.73
130	95.99	2.56	86.80	98.22
140	96.34	1.67	89.59	98.48
150	96.33	1.69	89.34	98.22
