spc	meanAcc	stdAcc	minAcc	maxAcc
1	35.81	7.67	19.29	53.05
10	51.30	7.58	34.52	64.97
20	51.20	6.92	35.28	63.20
30	51.89	5.98	39.85	63.71
40	52.51	5.92	37.31	67.01
50	51.28	5.71	36.29	63.20
60	52.36	5.66	39.59	64.21
70	51.56	5.81	39.34	63.45
80	52.34	5.78	39.59	65.99
90	51.85	6.39	35.03	63.71
100	52.26	6.43	37.56	65.74
110	52.76	6.43	39.34	65.23
120	53.02	6.43	37.56	65.99
130	53.33	6.75	38.07	67.77
140	54.02	6.46	40.86	66.50
150	54.12	6.67	36.29	67.26
