spc	meanAcc	stdAcc	minAcc	maxAcc
1	73.60	6.71	57.11	85.53
10	89.93	2.06	85.28	94.67
20	92.34	1.80	87.31	95.94
30	93.40	1.39	90.10	96.19
40	94.09	1.41	89.59	95.94
50	94.64	1.35	90.86	97.72
60	94.94	1.27	90.10	96.45
70	95.11	1.14	92.13	96.70
80	95.33	1.22	91.62	96.95
90	95.61	1.11	92.64	97.46
100	95.64	1.11	92.89	97.21
110	95.65	0.91	93.15	97.21
120	95.61	1.29	91.12	97.46
130	95.93	0.97	92.89	97.46
140	95.83	0.90	93.40	97.46
150	95.92	0.96	92.64	97.46
