numConvModules	meanTestAcc	stdTestAcc	minTestAcc	maxTestAcc
1	88.91	17.64	36.55	96.70
2	97.74	0.62	96.70	98.73
3	98.40	0.36	97.46	98.98
4	98.20	0.56	97.21	98.98
5	97.69	0.61	96.45	98.73
6	95.43	1.44	91.88	96.95
