numConvModules	meanTestAcc	stdTestAcc	minTestAcc	maxTestAcc
1	58.65	13.83	33.50	78.43
2	97.64	0.57	96.19	98.22
3	98.17	0.48	97.46	98.73
4	98.65	0.30	97.97	99.24
5	98.78	0.36	97.97	98.98
6	98.76	0.31	98.22	99.24
