numConvModules	meanTestAcc	stdTestAcc	minTestAcc	maxTestAcc
1	96.60	0.50	95.69	97.21
2	98.30	1.02	95.43	99.24
3	98.93	0.45	97.97	99.49
4	99.29	0.37	98.73	99.75
5	99.16	0.26	98.73	99.49
6	99.14	0.33	98.48	99.49
