numConvModules	meanTestAcc	stdTestAcc	minTestAcc	maxTestAcc
1	81.98	25.61	16.50	96.70
2	97.87	0.47	96.95	98.48
3	98.55	0.28	97.97	98.98
4	98.40	0.54	97.21	99.24
5	98.76	0.33	98.22	99.24
6	98.40	0.44	97.46	98.98
