numConvModules	meanTestAcc	stdTestAcc	minTestAcc	maxTestAcc
1	96.27	0.74	94.67	97.21
2	98.25	0.38	97.72	98.98
3	98.98	0.39	98.48	99.75
4	98.68	0.51	97.46	99.49
5	97.34	3.29	87.56	99.24
6	98.55	0.48	97.46	99.24
