numConvModules	meanTestAcc	stdTestAcc	minTestAcc	maxTestAcc
1	53.20	17.58	29.70	86.55
2	96.75	1.77	92.64	98.22
3	98.30	0.39	97.21	98.73
4	98.20	0.33	97.72	98.73
5	97.28	0.99	95.69	98.73
6	92.64	6.54	73.60	97.46
