numConvModules	meanTestAcc	stdTestAcc	minTestAcc	maxTestAcc
1	96.19	0.63	94.92	97.21
2	97.72	0.66	96.70	98.73
3	98.53	0.52	97.72	99.49
4	98.40	0.53	97.21	98.98
5	97.97	0.61	96.70	98.73
6	96.60	1.31	93.91	98.22
