numConvModules	meanTestAcc	stdTestAcc	minTestAcc	maxTestAcc
1	45.53	21.05	16.24	82.74
2	95.99	2.48	89.09	98.22
3	98.30	0.44	97.72	98.98
4	98.35	0.54	96.95	98.73
5	98.50	0.37	97.97	99.24
6	98.45	0.40	97.97	99.49
