threshold		recall		stdRecall		accuracy		stdAccuracy		numberOfProposals		stdNumberOfProposals
0.05		0.96		0.13		0.82		0.34		314		124
0.1		0.96		0.13		0.81		0.34		261		108
0.15		0.96		0.13		0.80		0.35		231		99
0.2		0.96		0.13		0.79		0.36		209		92
0.25		0.96		0.13		0.77		0.37		191		87
0.3		0.96		0.13		0.76		0.37		176		82
0.35		0.96		0.14		0.75		0.38		161		77
0.4		0.96		0.14		0.74		0.39		146		73
0.45		0.95		0.15		0.72		0.40		130		68
0.5		0.93		0.17		0.70		0.41		112		62
0.55		0.92		0.18		0.68		0.43		89		51
0.6		0.89		0.21		0.63		0.44		57		33
0.65		0.79		0.29		0.54		0.45		26		18
0.7		0.63		0.38		0.37		0.44		9		8
0.75		0.45		0.42		0.22		0.40		3		3
0.8		0.35		0.43		0.18		0.38		1		2
0.85		0.27		0.42		0.13		0.33		0		1
0.9		0.17		0.37		0.10		0.30		0		0
0.95		0.05		0.22		0.04		0.20		0		0
