threshold		recall		stdRecall		accuracy		stdAccuracy		numberOfProposals		stdNumberOfProposals
0.05		0.96		0.13		0.62		0.43		236		113
0.1		0.96		0.14		0.61		0.44		195		98
0.15		0.96		0.14		0.59		0.44		172		89
0.2		0.95		0.15		0.58		0.45		155		82
0.25		0.95		0.15		0.57		0.45		141		77
0.3		0.94		0.16		0.56		0.45		129		72
0.35		0.94		0.17		0.55		0.46		118		67
0.4		0.92		0.19		0.54		0.46		107		63
0.45		0.91		0.20		0.54		0.46		95		58
0.5		0.89		0.23		0.52		0.46		80		50
0.55		0.86		0.26		0.48		0.46		57		36
0.6		0.76		0.34		0.39		0.44		31		20
0.65		0.62		0.40		0.22		0.38		12		9
0.7		0.45		0.42		0.09		0.27		3		3
0.75		0.25		0.40		0.04		0.19		0		1
0.8		0.14		0.33		0.01		0.12		0		0
0.85		0.09		0.28		0.01		0.09		0		0
0.9		0.06		0.24		0.01		0.09		0		0
0.95		0.04		0.20		0.01		0.09		0		0
