normFrame	iou
0.0000	0.7285
0.0625	0.7285
0.1250	0.7135
0.1875	0.7135
0.2500	0.7021
0.3125	0.7021
0.3750	0.6546
0.4375	0.7021
0.5000	0.0000
0.5625	0.0000
0.6250	0.0000
0.6875	0.0000
0.7500	0.0000
0.8125	0.0000
0.8750	0.0000
0.9375	0.0000
