spc	meanAcc	stdAcc	minAcc	maxAcc
1	79.44	7.43	53.55	89.85
10	93.03	1.63	87.82	95.69
20	94.40	1.33	89.09	96.95
30	95.31	1.06	92.13	97.21
40	95.60	0.73	93.15	96.95
50	95.91	0.77	92.89	97.46
60	96.20	0.80	94.67	97.97
70	96.27	0.90	92.89	98.22
80	96.66	0.78	93.91	97.72
90	96.64	0.75	95.18	97.72
100	96.74	0.60	95.18	97.97
110	96.95	0.60	95.69	98.22
120	97.08	0.54	95.94	97.97
130	96.71	0.68	94.92	97.97
140	96.62	0.86	94.16	98.22
150	96.80	0.68	95.43	98.22
