samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		39.00	11.66	11.93	61.42
2		50.88	10.95	17.01	69.54
3		62.54	8.84	29.70	75.89
4		67.64	9.91	34.52	80.71
5		67.75	11.26	10.15	82.74
6		72.99	10.38	25.63	84.52
7		70.61	12.90	25.13	86.04
8		69.64	13.88	23.10	86.55
9		73.97	11.87	24.62	87.06
10		75.30	10.85	29.70	88.07
11		76.48	10.66	30.20	89.34
12		77.15	9.76	19.04	81.98
13		78.90	9.29	45.94	89.85
14		84.23	7.06	32.23	91.88
15		85.08	4.75	61.42	91.12
16		84.87	5.66	53.55	90.86
17		87.15	8.57	22.34	93.91
18		88.29	6.42	52.54	93.91
19		88.27	4.24	60.66	93.91
20		89.44	2.60	79.95	93.91
25		87.89	5.30	64.72	94.42
30		92.46	2.64	69.54	95.43
35		92.30	7.83	31.47	97.21
40		94.40	2.33	76.90	97.21
45		95.22	1.13	91.37	97.72
50		95.13	1.21	90.61	97.72
60		95.37	1.40	88.83	98.22
70		95.89	1.00	16.24	97.21
80		96.77	0.82	94.16	98.73
90		97.45	0.71	94.67	98.98
100		97.53	0.67	95.18	99.24
110		97.59	0.65	96.19	99.24
120		97.81	0.55	96.70	99.24
130		97.73	0.70	95.43	99.24
140		97.90	0.60	10.66	98.48
150		98.24	0.46	96.95	99.24
