spc	meanAcc	stdAcc	minAcc	maxAcc
1	76.34	5.96	62.18	89.09
10	88.39	4.57	67.51	92.89
20	91.17	2.61	77.92	94.42
30	92.55	1.59	88.58	95.43
40	92.98	1.89	83.76	95.69
50	93.68	2.13	81.98	96.45
60	93.80	2.03	82.23	96.45
70	94.06	1.96	83.25	96.45
80	94.05	1.92	84.26	96.45
90	94.51	1.32	90.10	96.95
100	94.58	1.42	89.59	96.95
110	94.78	1.22	90.86	96.70
120	94.97	1.14	92.64	96.70
130	94.47	1.63	86.80	97.21
140	94.62	1.53	87.56	96.95
150	94.74	1.40	89.59	97.46
