pixelImageSize	meanAcc	stdAcc	minAcc	maxAcc	numberOfParams
16		76.90	7.51	54.82	85.28	3371
24		72.98	7.77	48.98	82.23	3439
32		62.59	9.44	32.74	74.11	3507
48		55.95	11.07	18.53	68.53	3643
64		46.81	7.34	27.41	61.93	3779
80		45.43	6.39	23.10	52.54	3915
96		45.63	7.44	26.65	53.05	4051
