pixelImageSize	meanAcc	stdAcc	minAcc	maxAcc	numberOfParams
16		70.20	9.67	50.76	85.79	2339
24		59.90	15.63	23.35	78.93	2399
32		54.15	9.99	30.96	66.75	2459
48		39.73	9.98	14.72	52.79	2579
64		36.88	6.90	25.89	49.49	2699
80		31.19	8.97	14.21	47.97	2819
96		32.98	5.72	21.57	43.91	2939
