pixelImageSize	meanAcc	stdAcc	minAcc	maxAcc	numberOfParams
16		91.54	1.50	88.83	94.42	29291
24		93.87	0.89	91.88	95.43	45675
32		96.60	0.87	94.42	97.97	78443
48		97.18	0.63	95.94	98.48	193131
64		96.51	0.73	94.67	97.72	373355
80		97.09	0.58	95.94	97.97	619115
96		97.49	0.53	95.94	98.48	930411
