pixelImageSize  meanAcc stdAcc  minAcc  maxAcc  numberOfParams
16              95.77   1.10    93.40   97.46   2339
24              92.61   2.48    87.06   95.94   2399
32              95.18   1.60    89.85   97.21   2459
48              93.74   1.64    90.10   96.45   2579
64              89.30   5.19    69.54   93.91   2699
80              88.73   5.99    64.47   93.91   2819
96              85.03   9.11    59.14   94.16   2939
