pixelImageSize	meanAcc	stdAcc	minAcc	maxAcc	numberOfParams
16		13.90	2.66	12.44	23.60	29291
24		19.23	5.20	12.18	32.74	45675
32		18.16	5.46	11.68	30.20	78443
48		22.30	5.80	13.96	35.79	193131
64		26.13	7.17	17.51	39.09	373355
80		39.05	10.01	17.77	60.66	619115
96		47.32	9.53	17.51	60.15	930411
