samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		25.41	8.51	11.17	49.49
2		34.81	8.51	12.94	56.60
3		40.76	8.66	14.72	57.61
4		46.32	8.86	26.14	64.21
5		47.75	8.76	22.59	62.18
6		50.97	9.36	24.87	69.80
7		51.01	10.08	26.14	73.10
8		55.16	8.11	31.98	74.37
9		54.55	9.86	24.87	74.62
10		54.11	8.97	29.44	78.17
11		59.62	7.79	34.26	71.83
12		57.33	8.09	10.41	45.94
13		55.32	9.81	28.93	73.60
14		64.30	8.86	43.40	82.23
15		69.74	7.33	47.97	83.25
16		73.26	5.41	56.35	81.98
17		75.48	4.35	64.21	84.52
18		75.18	4.72	60.91	87.06
19		74.42	6.07	55.58	85.28
20		76.75	4.81	57.11	84.26
25		75.53	5.53	54.06	82.74
30		83.17	3.44	73.86	91.12
35		84.61	2.70	12.18	63.20
40		86.48	3.11	79.44	93.91
45		87.46	3.28	78.93	93.40
50		88.67	2.73	78.43	93.40
60		89.91	2.82	80.71	95.94
70		93.15	5.61	65.48	95.18
80		93.64	1.71	88.58	96.19
90		94.46	1.57	89.59	96.95
100		94.45	1.61	89.09	97.72
110		95.45	1.29	90.86	97.46
120		95.79	1.24	91.12	97.72
130		95.73	1.39	90.86	97.97
140		95.26	1.55	89.85	97.72
150		96.41	1.05	91.12	98.48
