spc	meanAcc	stdAcc	minAcc	maxAcc
1	70.95	6.19	59.14	85.28
10	87.79	1.87	83.50	91.88
20	90.73	1.72	86.29	94.67
30	92.01	1.20	88.32	94.16
40	92.81	1.42	88.58	95.43
50	93.46	1.53	89.85	96.19
60	93.94	1.04	92.13	95.94
70	94.39	1.14	91.62	96.70
80	94.54	0.95	91.62	96.45
90	94.73	1.05	92.39	96.70
100	94.99	1.01	92.39	97.21
110	95.11	0.95	93.15	96.95
120	95.04	0.79	92.89	96.70
130	95.16	0.86	93.15	96.70
140	95.04	1.05	92.39	97.46
150	95.16	0.99	92.39	97.21
