pixelImageSize	meanAcc	stdAcc	minAcc	maxAcc	numberOfParams
16		98.50	0.54	96.95	99.24	29575
24		97.89	0.84	94.92	98.98	45983
32		98.59	0.33	98.22	99.24	78775
48		98.55	0.34	97.97	99.24	193511
64		98.05	0.34	97.46	98.48	373783
80		98.24	0.50	97.46	98.98	619591
96		98.12	0.46	96.95	98.98	930935
