threshold		meanRecall		stdRecall		aBO		stdBO
0.05		94.4		17.1		0.70		0.12
0.1		93.7		18.5		0.69		0.12
0.15		93.0		19.4		0.68		0.13
0.2		92.4		20.2		0.68		0.13
0.25		92.1		20.5		0.67		0.14
0.3		91.6		20.9		0.67		0.14
0.35		91.3		21.1		0.66		0.14
0.4		90.3		22.4		0.65		0.15
0.45		89.4		23.3		0.65		0.15
0.5		88.5		24.2		0.64		0.16
0.55		87.5		25.5		0.63		0.18
0.6		85.8		27.9		0.60		0.25
0.65		81.2		32.8		0.55		0.34
0.7		69.9		40.8		0.38		0.55
0.75		48.3		44.5		0.05		0.73
0.8		27.5		38.6		-0.38		0.76
0.85		6.9		20.8		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
