k		meanRecall		stdRecall		aBO		stdBO
1		0.26		5.07		0.41		0.33
2		0.64		8.00		0.49		0.32
3		0.77		8.75		0.55		0.30
4		0.90		9.10		0.60		0.26
5		0.97		9.27		0.63		0.23
6		0.97		9.27		0.65		0.20
7		0.97		9.27		0.66		0.19
8		0.97		9.27		0.67		0.18
9		0.97		9.27		0.68		0.18
10		0.97		9.27		0.68		0.17
15		0.97		9.27		0.69		0.16
20		0.97		9.27		0.70		0.14
25		0.97		9.27		0.70		0.13
30		0.97		9.27		0.71		0.13
35		0.97		9.27		0.71		0.12
40		0.97		9.27		0.71		0.12
45		0.97		9.27		0.71		0.12
50		0.97		9.27		0.71		0.12
60		0.97		9.27		0.71		0.12
70		0.97		9.27		0.71		0.11
80		0.97		9.27		0.71		0.11
90		0.97		9.27		0.71		0.11
100		0.97		9.27		0.71		0.11
