threshold		meanRecall		stdRecall		aBO		stdBO
0.05		0.4		6.2		0.73		0.11
0.1		0.4		6.2		0.73		0.11
0.15		0.4		6.2		0.73		0.11
0.2		0.4		6.2		0.72		0.12
0.25		0.4		6.2		0.72		0.13
0.3		0.4		6.2		0.71		0.15
0.35		0.4		6.2		0.71		0.16
0.4		0.4		6.2		0.70		0.17
0.45		0.4		6.2		0.69		0.20
0.5		0.4		6.2		0.68		0.21
0.55		0.4		6.2		0.67		0.23
0.6		0.4		6.2		0.65		0.26
0.65		0.4		6.2		0.63		0.27
0.7		0.4		6.2		0.60		0.30
0.75		0.3		5.1		0.57		0.33
0.8		0.3		5.1		0.50		0.41
0.85		0.3		5.1		0.39		0.50
0.9		0.3		5.1		0.25		0.58
0.95		0.0		0.0		-0.03		0.68
