k		meanRecall		stdRecall		aBO		stdBO
1		52.60		41.52		0.41		0.33
2		63.06		39.08		0.47		0.33
3		69.52		36.13		0.50		0.33
4		72.63		34.46		0.53		0.33
5		74.50		33.04		0.55		0.32
6		76.56		31.47		0.57		0.32
7		78.04		29.99		0.59		0.31
8		79.06		29.22		0.60		0.30
9		79.97		28.39		0.62		0.29
10		80.54		28.29		0.63		0.28
15		84.34		26.24		0.69		0.22
20		86.66		24.68		0.71		0.20
25		88.14		23.44		0.72		0.18
30		88.31		23.30		0.72		0.18
35		88.70		23.08		0.73		0.18
40		88.93		22.95		0.73		0.17
45		89.12		22.83		0.73		0.17
50		89.30		22.74		0.73		0.17
60		89.60		22.13		0.74		0.16
70		89.73		22.05		0.74		0.16
80		90.05		21.68		0.74		0.15
90		90.20		21.54		0.75		0.15
100		90.43		21.24		0.75		0.15
