k		meanRecall		stdRecall		aBO		stdBO
1		64.91		36.72		0.41		0.33
2		74.26		32.62		0.49		0.32
3		78.94		29.95		0.55		0.30
4		82.99		28.04		0.60		0.26
5		86.19		26.08		0.63		0.23
6		88.35		24.21		0.65		0.20
7		89.88		22.40		0.66		0.19
8		90.58		21.76		0.67		0.18
9		91.36		20.80		0.68		0.18
10		91.89		20.17		0.68		0.17
15		92.81		19.14		0.69		0.16
20		94.06		17.48		0.70		0.14
25		94.51		16.93		0.70		0.13
30		94.98		15.93		0.71		0.13
35		95.32		15.11		0.71		0.12
40		95.37		15.08		0.71		0.12
45		95.45		15.01		0.71		0.12
50		95.45		15.01		0.71		0.12
60		95.54		14.94		0.71		0.12
70		95.67		14.83		0.71		0.11
80		95.71		14.80		0.71		0.11
90		95.75		14.76		0.71		0.11
100		95.80		14.73		0.71		0.11
