threshold		meanRecall		stdRecall		aBO		stdBO
0.05		65.0		40.8		0.71		0.11
0.1		64.2		41.0		0.70		0.12
0.15		63.4		41.2		0.70		0.13
0.2		62.8		41.6		0.69		0.13
0.25		62.3		41.7		0.69		0.13
0.3		60.7		41.7		0.69		0.14
0.35		59.7		41.9		0.68		0.14
0.4		59.0		42.1		0.68		0.14
0.45		56.9		42.5		0.67		0.15
0.5		54.5		42.7		0.66		0.16
0.55		50.5		42.9		0.65		0.17
0.6		46.4		43.1		0.61		0.25
0.65		38.6		41.9		0.56		0.34
0.7		29.6		38.8		0.39		0.55
0.75		20.7		33.5		0.05		0.73
0.8		14.0		27.2		-0.38		0.76
0.85		4.7		16.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
