threshold		meanRecall		stdRecall		aBO		stdBO
0.05		58.8		41.2		0.68		0.12
0.1		58.8		41.3		0.68		0.12
0.15		57.3		41.3		0.68		0.12
0.2		57.7		41.2		0.68		0.12
0.25		56.2		41.4		0.67		0.14
0.3		56.4		41.7		0.67		0.15
0.35		55.1		42.0		0.66		0.17
0.4		53.9		42.1		0.65		0.17
0.45		52.9		42.3		0.64		0.20
0.5		51.2		42.7		0.63		0.21
0.55		48.0		43.3		0.62		0.23
0.6		44.2		43.5		0.60		0.25
0.65		40.5		43.5		0.58		0.26
0.7		35.2		42.7		0.55		0.28
0.75		31.5		41.9		0.51		0.32
0.8		26.1		40.3		0.45		0.39
0.85		18.9		36.5		0.35		0.47
0.9		10.9		28.9		0.21		0.55
0.95		4.0		18.6		-0.07		0.65
