k		meanRecall		stdRecall		aBO		stdBO
1		52.60		41.52		0.41		0.33
2		66.22		39.05		0.50		0.31
3		73.90		35.91		0.58		0.27
4		78.40		33.17		0.62		0.22
5		80.91		31.43		0.64		0.20
6		82.15		30.31		0.65		0.19
7		83.10		29.60		0.66		0.18
8		83.70		29.14		0.67		0.18
9		84.21		28.59		0.67		0.17
10		84.56		28.40		0.67		0.17
15		85.61		27.82		0.68		0.14
20		85.86		27.66		0.69		0.13
25		85.86		27.66		0.69		0.13
30		85.91		27.60		0.69		0.13
35		86.08		27.38		0.69		0.12
40		86.16		27.21		0.69		0.12
45		86.16		27.21		0.69		0.12
50		86.16		27.21		0.70		0.12
60		86.16		27.21		0.70		0.12
70		86.16		27.21		0.70		0.12
80		86.16		27.21		0.70		0.12
90		86.16		27.21		0.70		0.12
100		86.16		27.21		0.70		0.12
