k		meanRecall		stdRecall		aBO		stdBO
1		28.14		38.75		0.41		0.33
2		43.48		42.42		0.48		0.33
3		52.79		42.53		0.53		0.31
4		57.92		41.63		0.58		0.29
5		61.43		40.74		0.61		0.26
6		63.99		39.94		0.64		0.23
7		66.88		38.78		0.65		0.21
8		68.30		38.13		0.67		0.20
9		69.46		37.55		0.67		0.20
10		69.80		37.38		0.68		0.19
15		71.15		36.73		0.69		0.17
20		72.14		36.14		0.70		0.17
25		72.84		35.97		0.70		0.16
30		73.51		35.86		0.71		0.15
35		73.83		35.56		0.71		0.14
40		74.28		35.20		0.72		0.14
45		74.45		35.18		0.72		0.13
50		74.67		35.03		0.72		0.13
60		74.97		34.91		0.72		0.12
70		75.03		34.81		0.72		0.12
80		75.03		34.81		0.72		0.12
90		75.08		34.74		0.72		0.12
100		75.08		34.74		0.72		0.12
