k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.02		0.08
10		0.00		0.00		0.16		0.18
25		0.00		0.00		0.27		0.20
50		0.06		1.79		0.37		0.20
100		0.26		3.58		0.47		0.18
500		1.48		8.72		0.65		0.16
1000		1.48		8.72		0.65		0.15
2000		1.48		8.72		0.65		0.15
3000		1.48		8.72		0.65		0.15
4000		1.48		8.72		0.65		0.15
5000		1.48		8.72		0.65		0.15
