k		meanRecall		stdRecall		aBO		stdBO
1		0.13		2.53		0.02		0.07
10		3.67		16.26		0.15		0.17
25		7.64		23.09		0.26		0.19
50		13.34		29.38		0.35		0.19
100		24.28		37.49		0.45		0.18
500		66.37		41.37		0.64		0.14
1000		83.57		31.61		0.71		0.13
2000		84.96		30.69		0.72		0.12
3000		84.96		30.69		0.72		0.12
4000		84.96		30.69		0.72		0.12
5000		84.96		30.69		0.72		0.12
