k		meanRecall		stdRecall		aBO		stdBO
1		64.91		36.72		0.41		0.33
2		73.83		32.84		0.48		0.33
3		78.10		30.37		0.53		0.31
4		81.02		28.81		0.58		0.29
5		83.46		27.76		0.61		0.26
6		86.70		25.98		0.64		0.23
7		87.90		24.58		0.65		0.21
8		89.36		22.89		0.67		0.20
9		89.98		22.36		0.67		0.20
10		90.80		21.49		0.68		0.19
15		92.60		19.37		0.69		0.17
20		93.33		18.47		0.70		0.17
25		93.97		17.45		0.70		0.16
30		94.62		16.70		0.71		0.15
35		95.05		15.98		0.71		0.14
40		95.17		15.79		0.72		0.14
45		95.30		15.61		0.72		0.13
50		95.35		15.48		0.72		0.13
60		95.73		14.60		0.72		0.12
70		95.95		14.11		0.72		0.12
80		96.12		13.65		0.72		0.12
90		96.12		13.65		0.72		0.12
100		96.12		13.65		0.72		0.12
