threshold		meanRecall		stdRecall		aBO		stdBO
0.05		96.3		14.0		0.73		0.11
0.1		96.3		14.0		0.73		0.11
0.15		96.2		14.2		0.73		0.11
0.2		95.8		14.7		0.72		0.12
0.25		95.1		15.5		0.72		0.13
0.3		94.3		17.2		0.71		0.15
0.35		93.5		18.8		0.71		0.16
0.4		93.0		19.8		0.70		0.17
0.45		91.8		21.7		0.69		0.20
0.5		90.6		23.7		0.68		0.21
0.55		89.7		24.7		0.67		0.23
0.6		88.5		25.8		0.65		0.26
0.65		87.0		27.4		0.63		0.27
0.7		84.8		29.7		0.60		0.30
0.75		81.0		33.0		0.57		0.33
0.8		74.5		37.5		0.50		0.41
0.85		65.8		41.1		0.39		0.50
0.9		54.8		42.9		0.25		0.58
0.95		37.5		40.5		-0.03		0.68
