k		meanRecall		stdRecall		aBO		stdBO
1		5.64		21.29		0.41		0.33
2		11.13		29.43		0.48		0.33
3		14.76		33.21		0.53		0.31
4		18.68		36.89		0.58		0.29
5		20.14		37.79		0.61		0.26
6		22.18		39.35		0.64		0.23
7		23.66		40.40		0.65		0.21
8		24.50		40.74		0.67		0.20
9		25.01		41.13		0.67		0.20
10		25.44		41.35		0.68		0.19
15		26.51		41.94		0.69		0.17
20		27.31		42.23		0.70		0.17
25		27.63		42.18		0.70		0.16
30		27.76		42.25		0.71		0.15
35		27.82		42.24		0.71		0.14
40		27.97		42.25		0.72		0.14
45		27.97		42.25		0.72		0.13
50		27.97		42.25		0.72		0.13
60		27.97		42.25		0.72		0.12
70		27.97		42.25		0.72		0.12
80		27.97		42.25		0.72		0.12
90		27.97		42.25		0.72		0.12
100		27.97		42.25		0.72		0.12
